Time (days),pir2 (upwelling)
93.16458333,261.9
93.16527778,262.1
93.16597222,262
93.16666667,261.8
93.16736111,261.9
93.16805556,262.2
93.16875,262.1
93.16944444,261.9
93.17013889,261.9
93.17083333,262
93.17152778,262
93.17222222,261.9
93.17291667,262.3
93.17361111,262.1
93.17430556,262
93.175,261.9
93.17569444,261.6
93.17638889,261.9
93.17708333,262.1
93.17777778,262.4
93.17847222,261.9
93.17916667,261.9
93.17986111,262
93.18055556,261.9
93.18125,262.2
93.18194444,262.3
93.18263889,262.3
93.18333333,262
93.18402778,261.9
93.18472222,262
93.18541667,262.6
93.18611111,262.4
93.18680556,262.2
93.1875,261.9
93.18819444,261.9
93.18888889,261.9
93.18958333,261.8
93.19027778,261.9
93.19097222,261.9
93.19166667,261.9
93.19236111,261.9
93.19305556,261.9
93.19375,261.9
93.19444444,261.9
93.19513889,261.9
93.19583333,261.9
93.19652778,261.9
93.19722222,261.9
93.19791667,261.9
93.19861111,261.9
93.19930556,261.9
93.2,261.9
93.20069444,261.9
93.20138889,262.1
93.20208333,262.2
93.20277778,262.2
93.20347222,262.1
93.20416667,262
93.20486111,262.3
93.20555556,262
93.20625,261.9
93.20694444,261.9
93.20763889,261.9
93.20833333,261.9
93.20902778,261.9
93.20972222,261.9
93.21041667,261.9
93.21111111,261.9
93.21180556,261.9
93.2125,261.7
93.21319444,261.2
93.21388889,261.3
93.21458333,261.8
93.21527778,261.8
93.21597222,260.7
93.21666667,259.8
93.21736111,259.4
93.21805556,259.5
93.21875,259
93.21944444,259.8
93.22013889,260.6
93.22083333,260.8
93.22152778,261
93.22222222,261.3
93.22291667,261.6
93.22361111,261.9
93.22430556,261.9
93.225,261.6
93.22569444,260.7
93.22638889,259.4
93.22708333,258.8
93.22777778,259.1
93.22847222,259.1
93.22916667,258
93.22986111,258.6
93.23055556,258.5
93.23125,258.3
93.23194444,258.6
93.23263889,259.6
93.23333333,259.3
93.23402778,258.8
93.23472222,257.9
93.23541667,257.7
93.23611111,257.7
93.23680556,257.3
93.2375,256.7
93.23819444,256.2
93.23888889,256.1
93.23958333,256.4
93.24027778,256.2
93.24097222,256.3
93.24166667,256.2
93.24236111,256.2
93.24305556,255.7
93.24375,255.6
93.24444444,255.6
93.24513889,255.9
93.24583333,256.1
93.24652778,256.2
93.24722222,256.4
93.24791667,256.5
93.24861111,256.7
93.24930556,257.1
93.25,257.2
93.25069444,257.2
93.25138889,257.4
93.25208333,257.5
93.25277778,257.7
93.25347222,257.7
93.25416667,257.7
93.25486111,258.7
93.25555556,259.6
93.25625,260.5
93.25694444,260.8
93.25763889,260.7
93.25833333,260.8
93.25902778,260.1
93.25972222,259.8
93.26041667,259.6
93.26111111,259.8
93.26180556,259.4
93.2625,259.4
93.26319444,259.7
93.26388889,260.5
93.26458333,261.3
93.26527778,261.6
93.26597222,261.5
93.26666667,261.7
93.26736111,262.1
93.26805556,262.1
93.26875,261.6
93.26944444,261.5
93.27013889,261.9
93.27083333,261.9
93.27152778,262.6
93.27222222,263
93.27291667,263.1
93.27361111,263.5
93.27430556,263.9
93.275,264.4
93.27569444,264.4
93.27638889,264.7
93.27708333,265.1
93.27777778,265.5
93.27847222,265.6
93.27916667,265.9
93.27986111,265.8
93.28055556,265.6
93.28125,266
93.28194444,266.1
93.28263889,266.1
93.28333333,265.9
93.28402778,265.5
93.28472222,265.5
93.28541667,265.5
93.28611111,265.6
93.28680556,265.5
93.2875,265.2
93.28819444,265.4
93.28888889,266.2
93.28958333,266.7
93.29027778,266.9
93.29097222,266.9
93.29166667,267.1
93.29236111,267.4
93.29305556,267.5
93.29375,267.5
93.29444444,267.6
93.29513889,267.5
93.29583333,267.5
93.29652778,267.7
93.29722222,268.1
93.29791667,268.1
93.29861111,268.1
93.29930556,268.3
93.3,268.2
93.30069444,268.1
93.30138889,268
93.30208333,268
93.30277778,268.1
93.30347222,268.4
93.30416667,268.6
93.30486111,268.7
93.30555556,269
93.30625,269.1
93.30694444,269.1
93.30763889,269.3
93.30833333,269.6
93.30902778,269.7
93.30972222,269.5
93.31041667,269.6
93.31111111,269.9
93.31180556,270
93.3125,269.4
93.31319444,268.6
93.31388889,268.5
93.31458333,268.6
93.31527778,270.9
93.31597222,270.9
93.31666667,271.5
93.31736111,272.2
93.31805556,270.5
93.31875,269.6
93.31944444,270.5
93.32013889,273.4
93.32083333,275.3
93.32152778,276.3
93.32222222,277.1
93.32291667,277
93.32361111,274
93.32430556,272.6
93.325,272.5
93.32569444,272.6
93.32638889,271.9
93.32708333,271.2
93.32777778,270.7
93.32847222,270.8
93.32916667,270.7
93.32986111,271.6
93.33055556,272.3
93.33125,273.7
93.33194444,276.3
93.33263889,278.4
93.33333333,277.3
93.33402778,276
93.33472222,275.9
93.33541667,277.4
93.33611111,275.8
93.33680556,274.8
93.3375,274.3
93.33819444,274.5
93.33888889,275.8
93.33958333,275.8
93.34027778,275.8
93.34097222,275.5
93.34166667,274.7
93.34236111,274.3
93.34305556,273.8
93.34375,273.8
93.34444444,274.2
93.34513889,274.3
93.34583333,274.3
93.34652778,273.8
93.34722222,273.7
93.34791667,273.7
93.34861111,273.7
93.34930556,273.7
93.35,273.9
93.35069444,274.3
93.35138889,274.7
93.35208333,275.2
93.35277778,275.8
93.35347222,276.3
93.35416667,276.7
93.35486111,277.2
93.35555556,277.8
93.35625,278.4
93.35694444,278.4
93.35763889,278.7
93.35833333,278.7
93.35902778,278.6
93.35972222,279
